volume,pct_change,target,date
4234140000,0.03433571464262353,1,2019-01-04
4133120000,0.007010434848680358,1,2019-01-07
4120060000,0.009695285023358924,1,2019-01-08
4088740000,0.004098045450532162,1,2019-01-09
3721300000,0.004518418782931244,0,2019-01-10
3447460000,-0.00014629784190933748,0,2019-01-11
3689370000,-0.005257525167898014,1,2019-01-14
3601180000,0.010721688622945758,1,2019-01-15
3882180000,0.0022219854881162515,1,2019-01-16
3802410000,0.0075914003822110665,1,2019-01-17
4009010000,0.01318305304897005,0,2019-01-18
3923950000,-0.014157306164566674,1,2019-01-22
3358770000,0.0022029127742235755,1,2019-01-23
3449230000,0.0013757255543636049,1,2019-01-24
3821000000,0.008488694060713842,0,2019-01-25
3630820000,-0.007846827493937836,0,2019-01-28
3518070000,-0.0014562465775435074,1,2019-01-29
3883270000,0.01554926091974429,1,2019-01-30
4953800000,0.008597395948725328,1,2019-01-31
3782490000,0.0008986100931438479,1,2019-02-01
3369450000,0.006776236617404008,1,2019-02-04
3597620000,0.00470842037697472,0,2019-02-05
3486590000,-0.0022244379802809355,0,2019-02-06
4114040000,-0.009357140143940179,1,2019-02-07
3649510000,0.0006762010869560964,1,2019-02-08
3395330000,0.0007091030986317026,1,2019-02-11
3843020000,0.0128902247439735,1,2019-02-12
3684910000,0.003023994668760688,0,2019-02-13
3845390000,-0.002651641555101225,1,2019-02-14
3648680000,0.01087875260858695,1,2019-02-15
3535270000,0.0014987433214488366,1,2019-02-19
3904830000,0.0017771107537685182,0,2019-02-20
3598260000,-0.003526436790880272,1,2019-02-21
3429350000,0.006411102394986878,1,2019-02-22
3860260000,0.0012318625699112573,0,2019-02-25
3676200000,-0.0007904570968998437,0,2019-02-26
3771790000,-0.0005440493877303387,0,2019-02-27
4445780000,-0.0028255083152146643,1,2019-02-28
3994950000,0.00689532059343434,0,2019-03-01
3949730000,-0.003880558492514008,0,2019-03-04
3631380000,-0.001131532823106185,0,2019-03-05
3800180000,-0.006524098653592381,0,2019-03-06
3932150000,-0.00812571755868352,0,2019-03-07
3424300000,-0.0021316888487414865,1,2019-03-08
3764850000,0.014666041867757107,1,2019-03-11
3432340000,0.0029533182046204143,1,2019-03-12
3782250000,0.006949583813841809,0,2019-03-13
3505670000,-0.0008680223820187738,1,2019-03-14
5969780000,0.00498490290027398,1,2019-03-15
3620770000,0.0037059469012648005,0,2019-03-18
3650740000,-0.0001305615560248663,0,2019-03-19
3779160000,-0.0029443536044478913,1,2019-03-20
3612620000,0.010852481049954399,0,2019-03-21
4253730000,-0.018974501239482744,0,2019-03-22
3406110000,-0.000839020658475631,1,2019-03-25
3288570000,0.007182725862306283,0,2019-03-26
3422400000,-0.0046443248906916645,1,2019-03-27
3185460000,0.003589481529391092,1,2019-03-28
3752520000,0.0067342800173637585,1,2019-03-29
3560090000,0.011568600124275408,1,2019-04-01
3267210000,1.745570720723677e-05,1,2019-04-02
3570000000,0.002148376881724312,1,2019-04-03
3038740000,0.0020846350796801527,1,2019-04-04
3155970000,0.004636432770241061,1,2019-04-05
3056460000,0.0010474599539205265,0,2019-04-08
3032480000,-0.006067494393846573,1,2019-04-09
3092230000,0.0034778715639784963,1,2019-04-10
2970650000,3.8123067008344336e-05,1,2019-04-11
3726050000,0.006609324208602496,0,2019-04-12
3114530000,-0.0006293691084816588,1,2019-04-15
3403120000,0.0005093580038946222,0,2019-04-16
3648100000,-0.0022738117853239315,1,2019-04-17
3507100000,0.0015790922795098083,1,2019-04-18
3010130000,0.001012017561471401,1,2019-04-22
3674480000,0.008841205788409079,0,2019-04-23
3468480000,-0.002191763174733685,0,2019-04-24
3440010000,-0.0003689736527457965,1,2019-04-25
3264390000,0.0046852921407636305,1,2019-04-26
3150390000,0.001071522174355355,1,2019-04-29
3939760000,0.0009514170090862972,0,2019-04-30
3669330000,-0.007502163081421376,0,2019-05-01
3802290000,-0.0021239857917741967,1,2019-05-02
3357180000,0.009638279380647763,0,2019-05-03
3203260000,-0.004470988428756373,0,2019-05-06
3793060000,-0.016511651392423388,0,2019-05-07
3543110000,-0.0016054253132695706,0,2019-05-08
3659050000,-0.0030214249424966866,1,2019-05-09
3566780000,0.0037202972597878414,0,2019-05-10
3900270000,-0.02413055719884427,1,2019-05-13
3354860000,0.008015944543135589,1,2019-05-14
3140900000,0.00583897507464215,1,2019-05-15
3338470000,0.008895287120600504,0,2019-05-16
3316040000,-0.005837333350761975,0,2019-05-17
3293750000,-0.0067493779153879885,1,2019-05-20
3223050000,0.008495835590448308,0,2019-05-21
3194000000,-0.0028243962306494508,0,2019-05-22
3899320000,-0.01191414994527018,1,2019-05-23
2889230000,0.0013535590072402126,0,2019-05-24
4146980000,-0.008375676922946718,0,2019-05-28
3701110000,-0.0069119122568113145,1,2019-05-29
3276030000,0.0020984713906617714,0,2019-05-30
3982670000,-0.01319537280847849,0,2019-05-31
3952360000,-0.0027652403144732274,1,2019-06-03
3814130000,0.021432370568193138,1,2019-06-04
3570760000,0.008161854781411959,1,2019-06-05
3445140000,0.006135586748687638,1,2019-06-06
3244380000,0.01049769746289475,1,2019-06-07
3209890000,0.0046600444669098184,0,2019-06-10
3551000000,-0.00034988023558091275,0,2019-06-11
3039870000,-0.0020375791387226005,1,2019-06-12
3100640000,0.004097381912668174,0,2019-06-13
2992810000,-0.001611511904139773,1,2019-06-14
2828400000,0.0009317492412306283,1,2019-06-17
3441540000,0.009717399870633026,1,2019-06-18
3300220000,0.002985163546397107,1,2019-06-19
3943060000,0.009472185190685156,0,2019-06-20
5003540000,-0.0012592227925193322,0,2019-06-21
3136960000,-0.0017318870104667816,0,2019-06-24
3579430000,-0.009496397343734198,0,2019-06-25
3511350000,-0.0012339337557076835,1,2019-06-26
3162500000,0.003823175554131808,1,2019-06-27
5422650000,0.0057574526279098315,1,2019-06-28
3524860000,0.007672301032188189,1,2019-07-01
3224490000,0.002928125887423194,1,2019-07-02
